corner,vdd,temp,vcont,freq,current
ss,1.8,27.0,1.5,167500000,0.0001344483537421564460888477788
sf,1.8,27.0,1.5,187500000,0.0001413031870100247493812654684
sf,1.8,27.0,1.5,187500000,0.0001380711378870278243043923902
fs,1.8,27.0,1.5,210000000,0.0001858435895833104172395690108
ss,1.8,27.0,1.1,127500000,0.0001081622449157621059473513162
fs,1.8,27.0,1.5,210000000,0.0001811467986902327441813954651
tt,1.8,27.0,1.1,160000000,0.0001429831680865478363040923977
sf,1.8,27.0,1.1,162500000,0.0001283724286380090497737556561
tt,1.8,27.0,1.1,162500000,0.0001435252494686632834179145521
fs,1.8,27.0,1.1,147500000,0.0001425961210030999225019374516
tt,1.8,27.0,1.5,205000000,0.0001631876225140371490712732182
sf,1.8,27.0,1.1,165000000,0.0001224907780180745481362965926
ss,1.8,27.0,1.5,165000000,0.0001316639832711182220444488888
ss,1.8,27.0,1.1,127500000,0.0001099225504377140571485712857
tt,1.8,27.0,1.5,205000000,0.0001625260244224144396390090248
ff,1.8,27.0,1.5,245000000,0.0002029210026472838179045523862
ff,1.8,27.0,1.1,200000000,0.0001771381093433164170895727607
fs,1.8,27.0,1.1,147500000,0.0001393878379029024274393140171
ff,1.8,27.0,1.1,200000000,0.0001823355659545011374715632109
ff,1.8,27.0,1.5,245000000,0.0002049297240988225294367640809
sf,1.8,27.0,1.6,192500000,0.0001367390077759806004849878753
ss,1.8,27.0,1.6,167500000,0.0001356465889753506162345941351
sf,1.8,27.0,1.6,190000000,0.0001378780661881202969925751856
tt,1.8,27.0,1.2,180000000,0.0001493710009849003774905627359
ss,1.8,27.0,1.6,170000000,0.0001329595930372740681482962926
fs,1.8,27.0,1.6,215000000,0.0001807659050457738556536086598
ss,1.8,27.0,1.2,145000000,0.0001161568835627109322266943326
sf,1.8,27.0,1.2,175000000,0.0001284021866017349566260843479
fs,1.8,27.0,1.2,175000000,0.0001610380565834604134896627584
fs,1.8,27.0,1.6,215000000,0.0001859690563971150721231969201
ss,1.8,27.0,1.2,145000000,0.0001187107929126771830704232394
sf,1.8,27.0,1.2,172500000,0.0001347129369301267468313292168
tt,1.8,27.0,1.2,180000000,0.0001540132423722156946076348091
tt,1.8,27.0,1.6,207500000,0.0001700950360835729106772330692
tt,1.8,27.0,1.6,210000000,0.0001690969390984225394365140871
ff,1.8,27.0,1.6,247500000,0.0002055056922658183545411364716
ff,1.8,27.0,1.2,217500000,0.0001920748455979350516237094073
