corner,vdd,temp,vcont,s0,s1,freq,current
ss,1.8,27.0,1.1,0,0,85000000.0,0.0001100688609709357266068348291
tt,1.8,27.0,1.1,0,0,112500000,0.0001471938213895902602434939127
ss,1.8,27.0,1.1,0,0,85000000.0,0.0001088860471838429039274018150
ss,1.8,27.0,1.5,0,0,107500000,0.0001322044408518037049073773156
fs,1.8,27.0,1.1,0,0,102500000,0.0001456503179906502337441563961
ss,1.8,27.0,1.5,0,0,107500000,0.0001306532032188945276368090798
tt,1.8,27.0,1.1,0,0,112500000,0.0001429698670759231019224519387
sf,1.8,27.0,1.5,0,0,127500000,0.0001380312685189620259493512662
sf,1.8,27.0,1.1,0,0,110000000,0.0001257946595241118972025699358
sf,1.8,27.0,1.5,0,0,127500000,0.0001399544270133296667583310417
fs,1.8,27.0,1.1,0,0,102500000,0.0001437733631872203194920126997
sf,1.8,27.0,1.1,0,0,110000000,0.0001287955580551736206594835129
tt,1.8,27.0,1.5,0,0,137500000,0.0001703291667392565185870353241
tt,1.8,27.0,1.5,0,0,137500000,0.0001707399875150121246968825779
fs,1.8,27.0,1.5,0,0,140000000,0.0001878166113925151871203219920
fs,1.8,27.0,1.5,0,0,140000000,0.0001887428249538261543461413465
ff,1.8,27.0,1.1,0,0,140000000,0.0001770682730998475038124046899
ff,1.8,27.0,1.5,0,0,170000000,0.0002126775508226544336391590210
ff,1.8,27.0,1.1,0,0,140000000,0.0001795780032414689632759181020
ff,1.8,27.0,1.5,0,0,167500000,0.0002054460300976225594360140996
ss,1.8,27.0,1.1,0,1,122500000,0.0001198523241227569310767230819
ss,1.8,27.0,1.1,0,1,120000000,0.0001190786155334916627084322892
ss,1.8,27.0,1.5,0,1,145000000,0.0001397277616261093472663183420
ss,1.8,27.0,1.5,0,1,145000000,0.0001387749667049073773155671108
tt,1.8,27.0,1.1,0,1,170000000,0.0001594831590264993375165620859
sf,1.8,27.0,1.5,0,1,182500000,0.0001533013977375815604609884753
sf,1.8,27.0,1.5,0,1,185000000,0.0001610636337982800429989250269
fs,1.8,27.0,1.1,0,1,147500000,0.0001627645476002849928751781205
sf,1.8,27.0,1.1,0,1,165000000,0.0001416954653449163770905727357
fs,1.8,27.0,1.1,0,1,147500000,0.0001618109796850328741781455464
fs,1.8,27.0,1.5,0,1,192500000,0.0002085088722375690607734806630
tt,1.8,27.0,1.5,0,1,202500000,0.0001838123494716632084197895053
tt,1.8,27.0,1.1,0,1,172500000,0.0001605925695948851278718032049
tt,1.8,27.0,1.5,0,1,202500000,0.0001856612693099922501937451564
fs,1.8,27.0,1.5,0,1,187500000,0.0002057453370810479738006549836
ff,1.8,27.0,1.1,0,1,217500000,0.0002076380854787630309242268943
ff,1.8,27.0,1.5,0,1,255000000,0.0002423941857045823854403639909
ff,1.8,27.0,1.1,0,1,220000000,0.0002092217702506187345316367091
ff,1.8,27.0,1.5,0,1,257500000,0.0002386767152997425064373390665
ss,1.8,27.0,1.1,1,0,85000000.0,0.0001115516380526911827204319892
ss,1.8,27.0,1.1,1,0,90000000.0,0.0001132059552266443338916527087
ss,1.8,27.0,1.5,1,0,107500000,0.0001266769934124396890077748056
ss,1.8,27.0,1.5,1,0,105000000,0.0001322694696671333216669583260
fs,1.8,27.0,1.1,1,0,100000000,0.0001488027650077248068798280043
tt,1.8,27.0,1.1,1,0,125000000,0.0001486182517116572085697857554
sf,1.8,27.0,1.1,1,0,127500000,0.0001301423334645883852903677408
fs,1.8,27.0,1.5,1,0,130000000,0.0001886202371174220644483887903
sf,1.8,27.0,1.5,1,0,145000000,0.0001475783582268193295167620809
fs,1.8,27.0,1.1,1,0,102500000,0.0001479988919871253218669533262
sf,1.8,27.0,1.5,1,0,142500000,0.0001458738054387890302742431439
tt,1.8,27.0,1.5,1,0,150000000,0.0001699679613813404664883377916
tt,1.8,27.0,1.1,1,0,122500000,0.0001495336269273268168295792605
tt,1.8,27.0,1.5,1,0,147500000,0.0001695812741692207694807629809
fs,1.8,27.0,1.5,1,0,102500000,0.0001766421633471413214669633259
ff,1.8,27.0,1.1,1,0,160000000,0.0001875016288757531061723456914
ff,1.8,27.0,1.5,1,0,192500000,0.0002162598261439214019649508762
ff,1.8,27.0,1.1,1,0,160000000,0.0001893084363153171170720731982
ff,1.8,27.0,1.5,1,0,192500000,0.0002158558895878103047423814405
ss,1.8,27.0,1.1,1,1,135000000,0.0001274821219349016274593135172
ss,1.8,27.0,1.1,1,1,137500000,0.0001265292308621534461638459039
fs,1.8,27.0,1.1,1,1,152500000,0.0001657945225420114497137571561
ss,1.8,27.0,1.5,1,1,157500000,0.0001468752346079848003799905002
ss,1.8,27.0,1.5,1,1,145000000,0.0001424497132066698332541686458
fs,1.8,27.0,1.1,1,1,142500000,0.0001671873001703207419814504637
tt,1.8,27.0,1.1,1,1,225000000,0.0001786629985238119047023824404
sf,1.8,27.0,1.1,1,1,235000000,0.0001659714056696832579185520362
